Team,HC_ADV
Denver,7.03
Arkansas,6.63
Oklahoma St,6.52
Missouri,6.47
Wake Forest,6.14
Nebraska,5.75
Kansas St,5.72
Toledo,5.71
New Mexico St,5.7
Missouri St,5.55
South Dakota State,5.5
Wyoming,5.48
Texas,5.44
Houston,5.41
Xavier,5.35
Louisiana Tech,5.32
Iowa St,5.32
Illinois St,5.28
Oklahoma,5.28
Colorado,5.23
Colorado St,5.19
Clemson,5.19
Kansas,5.18
Gonzaga,5.17
Iowa,5.16
Charleston Southern,5.14
Evansville,5.09
Notre Dame,5.08
George Washington,5.04
Bradley,5.02
Utah,5.02
Hawaii,4.92
Maryland,4.9
Marshall,4.89
Indiana St,4.86
Alabama,4.86
Memphis,4.85
Texas AM,4.82
Sacramento State,4.82
Minnesota,4.78
North Dakota State,4.78
Texas El Paso,4.77
Buffalo,4.75
Providence,4.75
Arkansas St,4.74
Tennessee,4.74
Ohio,4.74
Utah St,4.72
Dayton,4.72
Marquette,4.68
Nicholls State,4.67
IUPU Ft Wayne,4.65
Louisiana Lafayette,4.63
High Point,4.6
Portland St,4.59
Idaho State,4.58
Purdue,4.54
Brigham Young,4.53
Montana St,4.53
Eastern Michigan,4.52
Fresno St,4.49
Marist,4.48
Drake,4.45
Washington,4.44
Wichita St,4.43
Stetson,4.43
West Virginia,4.43
Mississippi,4.43
Morehead St,4.43
Indiana,4.42
Texas Tech,4.39
Michigan St,4.37
Mercer,4.36
New Mexico,4.33
Georgia,4.29
Southeastern Louisiana,4.28
Ohio St,4.25
North Carolina,4.21
Weber St,4.19
San Diego St,4.18
Saint Louis,4.17
Louisiana State,4.14
Howard,4.13
Lafayette,4.13
Illinois Chicago,4.13
Wright St,4.1
Butler,4.09
Stanford,4.08
Old Dominion,4.07
Florida Gulf Coast,4.07
Miami Florida,4.06
Southern Utah,4.05
Jacksonville,4.04
UCLA,4.03
Northern Arizona,4.02
VCU,4.01
Arizona St,4.01
Chattanooga,3.99
San Jose St,3.99
Creighton,3.97
