,team,abr,line,tor,hca,sportsref,sos
0,Abilene Christian,ACU,,Abilene Christian,,Abilene Christian,Abl Christian
1,Air Force,AF,,Air Force,Air Force,Air Force,Air Force
2,Akron,AKR,,Akron,Akron,Akron,Akron
3,Alabama,UA,Alabama,Alabama,Alabama,Alabama,Alabama
4,Alabama A&amp;M,AAMU,Alabama A&M,Alabama A&M,Alabama AM,Alabama A&M,Alab A&M
5,Alabama State,ALAST,Alabama St.,Alabama St.,Alabama St,Alabama State,Alabama St
6,Albany,ALBNY,Albany,Albany,Albany,Albany (NY),Albany
7,Alcorn State,ALCST,Alcorn St.,Alcorn St.,Alcorn St,Alcorn State,Alcorn St
8,American University,AMERU,American,American,American U,American,American
9,Appalachian State,APPST,App. St.,Appalachian St.,Appalachian St,Appalachian State,App State
10,Arizona,ARZ,Arizona,Arizona,Arizona,Arizona,Arizona
11,Arizona State,ASU,Arizona St.,Arizona St.,Arizona St,Arizona State,Arizona St
12,Arkansas,ARK,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
13,Arkansas State,ARKST,Arkansas St.,Arkansas St.,Arkansas St,Arkansas State,Arkansas St
14,Arkansas-Pine Bluff,UAPB,Ark.-Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff,Ark Pine Bl
15,Army West Point,USMA,Army,Army,Army,Army,Army
16,Auburn,AUB,Auburn,Auburn,Auburn,Auburn,Auburn
17,Austin Peay,APSU,Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay
18,Ball State,BLLST,Ball St.,Ball St.,Ball St,Ball State,Ball St
19,Baylor,BAYL,Baylor,Baylor,Baylor,Baylor,Baylor
20,Bellarmine,BELL,,Bellarmine,,Bellarmine,Bellarmine
21,Belmont,BLMNT,,Belmont,Belmont,Belmont,Belmont
22,Bethune-Cookman,BTHCK,Bethune-Cook.,Bethune Cookman,Bethune Cookman,Bethune-Cookman,Beth-Cook
23,Binghamton,BNGH,Binghamton,Binghamton,Binghamton,Binghamton,Binghamton
24,Boise State,BOISE,Boise St.,Boise St.,Boise St,Boise State,Boise St
25,Boston College,BOS,Boston College,Boston College,Boston College,Boston College,Boston Col
26,Boston University,BSTN,Boston U.,Boston University,Boston U,Boston University,Boston U
27,Bowling Green,BGSU,,Bowling Green,Bowling Green,Bowling Green State,Bowling Grn
28,Bradley,BRDLY,Bradley,Bradley,Bradley,Bradley,Bradley
29,Brigham Young,BYU,,BYU,Brigham Young,BYU,BYU
30,Brown,BRWN,Brown,Brown,Brown,Brown,Brown
31,Bryant,BRYNT,Bryant,Bryant,Bryant,Bryant,Bryant
32,Bucknell,BUCK,Bucknell,Bucknell,Bucknell,Bucknell,Bucknell
33,Buffalo,BUFF,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo
34,Butler,BTLR,Butler,Butler,Butler,Butler,Butler
35,Cal Poly,POLY,Cal Poly,Cal Poly,Cal Poly SLO,Cal Poly,Cal Poly
36,Cal State Bakersfield,CSUB,Cal-Baker.,Cal St. Bakersfield,,Cal State Bakersfield,CS Bakersfld
37,Cal State Fullerton,CSFUL,CS Fullerton,Cal St. Fullerton,Cal St Fullerton,Cal State Fullerton,CS Fullerton
38,Cal State Northridge,CSUN,CSNorthridge,Cal St. Northridge,,Cal State Northridge,Cal St Nrdge
39,California,Cal,California,California,California,California,California
40,California Baptist,CALBU,,Cal Baptist,,California Baptist,Cal Baptist
41,Campbell,CAM,,Campbell,Campbell,Campbell,Campbell
42,Canisius,CAN,Canisius,Canisius,Canisius,Canisius,Canisius
43,Central Arkansas,UCA,Cent. Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Ark
44,Central Connecticut State,CCSU,,Central Connecticut St.,Central Connecticut St,Central Connecticut,Central Conn
45,Central Michigan,CMU,C. Michigan,Central Michigan,Central Michigan,Central Michigan,Central Mich
46,Charleston,C of C,Charleston,College of Charleston,Charleston,College of Charleston,Col Charlestn
47,Charleston Southern,CHASO,Charleston So.,Charleston Southern,Charleston Southern,Charleston Southern,Charl South
48,Charlotte,CHAR,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte
49,Chattanooga,CHATT,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga
50,Chicago State,CHIST,Chicago St.,Chicago St.,Chicago St,Chicago State,Chicago St
51,Cincinnati,CINCY,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
52,Clemson,CLEM,Clemson,Clemson,Clemson,Clemson,Clemson
53,Cleveland State,CLEST,Clev. St.,Cleveland St.,Cleveland St,Cleveland State,Cleveland St
54,Coastal Carolina,CCU,,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Car
55,Colgate,COLGT,,Colgate,Colgate,Colgate,Colgate
56,Colorado,COLO,Colorado,Colorado,Colorado,Colorado,Colorado
57,Colorado State,COLST,Colorado St.,Colorado St.,Colorado St,Colorado State,Colorado St
58,Columbia,COM,Columbia,Columbia,Columbia,Columbia,Columbia
59,Coppin State,COPST,Coppin St.,Coppin St.,Coppin St,Coppin State,Coppin St
60,Cornell,COR,Cornell,Cornell,Cornell,Cornell,Cornell
61,Creighton,CREI,Creighton,Creighton,Creighton,Creighton,Creighton
62,Dartmouth,DART,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth
63,Davidson,DAV,,Davidson,Davidson,Davidson,Davidson
64,Dayton,DAY,,Dayton,Dayton,Dayton,Dayton
65,DePaul,DEP,DePaul,DePaul,DePaul,DePaul,DePaul
66,Delaware,DEL,Delaware,Delaware,Delaware,Delaware,Delaware
67,Delaware State,DESU,,Delaware St.,Delaware State,Delaware State,Delaware St
68,Denver,DEN,Denver,Denver,Denver,Denver,Denver
69,Detroit-Mercy,UDM,Detroit,Detroit,Detroit,Detroit Mercy,Detroit
70,Drake,DRAKE,Drake,Drake,Drake,Drake,Drake
71,Drexel,DREX,Drexel,Drexel,Drexel,Drexel,Drexel
72,Duke,DUKE,Duke,Duke,Duke,Duke,Duke
73,Duquesne,DUQ,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne
74,East Carolina,ECAR,East Carolina,East Carolina,East Carolina,East Carolina,E Carolina
75,East Tennessee State,ETSU,ETSU,East Tennessee St.,East Tennessee St,ETSU,E Tenn St
76,Eastern Illinois,EIU,E. Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,E Illinois
77,Eastern Kentucky,EKU,E. Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,E Kentucky
78,Eastern Michigan,EMICH,E. Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,E Michigan
79,Eastern Washington,EWASH,E. Washington,Eastern Washington,Eastern Washington,Eastern Washington,E Washingtn
80,Elon,ELON,Elon,Elon,Elon University,Elon,Elon
81,Evansville,UE,Evansville,Evansville,Evansville,Evansville,Evansville
82,Fairfield,FAIR,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield
83,Fairleigh Dickinson,FDU,FDU,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,F Dickinson
84,Florida,FLA,Florida,Florida,Florida,Florida,Florida
85,Florida A&amp;M,FAMU,,Florida A&M,Florida AM,Florida A&M,Florida A&M
86,Florida Atlantic,FAU,FAU,Florida Atlantic,Florida Atlantic,Florida Atlantic,Fla Atlantic
87,Florida Gulf Coast,FGCU,FGCU,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Fla Gulf Cst
88,Florida International,FIU,FIU,FIU,Florida International,Florida International,Florida Intl
89,Florida State,FLAST,,Florida St.,Florida St,Florida State,Florida St
90,Fordham,FORD,Fordham,Fordham,Fordham,Fordham,Fordham
91,Fort Wayne,IPFW,PFW,Fort Wayne,IUPU Ft Wayne,Purdue Fort Wayne,IPFW
92,Fresno State,FRSNO,Fresno St.,Fresno St.,Fresno St,Fresno State,Fresno St
93,Furman,FRMN,Furman,Furman,Furman,Furman,Furman
94,Gardner-Webb,GWU,,Gardner Webb,Gardner Webb,Gardner-Webb,Gard-Webb
95,George Mason,GMU,George Mason,George Mason,George Mason,George Mason,Geo Mason
96,George Washington,GW,George Wash.,George Washington,George Washington,George Washington,Geo Wshgtn
97,Georgetown,GTOWN,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown
98,Georgia,UGA,Georgia,Georgia,Georgia,Georgia,Georgia
99,Georgia Southern,GASO,Ga. Southern,Georgia Southern,Georgia Southern,Georgia Southern,GA Southern
100,Georgia State,GAST,,Georgia St.,Georgia St,Georgia State,Georgia St
101,Georgia Tech,GT,Ga. Tech,Georgia Tech,Georgia Tech,Georgia Tech,GA Tech
102,Gonzaga,ZAGS,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
103,Grambling State,GRAMB,Grambling,Grambling St.,Grambling State,Grambling,Grambling St
104,Grand Canyon,GCU,,Grand Canyon,,Grand Canyon,Grd Canyon
105,Green Bay,UWGB,Green Bay,Green Bay,,Green Bay,WI-Grn Bay
106,Hampton,HMPTN,Hampton,Hampton,Hampton,Hampton,Hampton
107,Harvard,HAR,Harvard,Harvard,Harvard,Harvard,Harvard
108,Hawaii,HAW,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii
109,High Point,HP,High Point,High Point,High Point,High Point,High Point
110,Hofstra,HOF,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra
111,Holy Cross,HC,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross
112,Houston,U of H,Houston,Houston,Houston,Houston,Houston
113,Houston Christian,HCU,,Houston Christian,,Houston Christian,Hsn Christian
114,Howard,HWRD,Howard,Howard,Howard,Howard,Howard
115,IUPUI,IUPUI,IUPUI,IUPUI,Indiana Purdue,IUPUI,IUPUI
116,Idaho,IDAHO,Idaho,Idaho,Idaho,Idaho,Idaho
117,Idaho State,IDHST,Idaho St.,Idaho St.,Idaho State,Idaho State,Idaho St
118,Illinois,ILL,Illinois,Illinois,Illinois,Illinois,Illinois
119,Illinois State,ILLST,Illinois St.,Illinois St.,Illinois St,Illinois State,Illinois St
120,Illinois-Chicago,UIC,UIC,Illinois Chicago,Illinois Chicago,UIC,IL-Chicago
121,Incarnate Word,UIW,Incarnate Word,Incarnate Word,,Incarnate Word,Incar Word
122,Indiana,IU,Indiana,Indiana,Indiana,Indiana,Indiana
123,Indiana State,INDST,,Indiana St.,Indiana St,Indiana State,Indiana St
124,Iona,IONA,Iona,Iona,Iona,Iona,Iona
125,Iowa,IOWA,Iowa,Iowa,Iowa,Iowa,Iowa
126,Iowa State,IWAST,Iowa St.,Iowa St.,Iowa St,Iowa State,Iowa St
127,Jackson State,JKSN,Jackson St.,Jackson St.,Jackson State,Jackson State,Jackson St
128,Jacksonville,JAC,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville
129,Jacksonville State,JKSNV,Jax. State,Jacksonville St.,Jacksonville St,Jacksonville State,Jksnville St
130,James Madison,JMU,James Madison,James Madison,James Madison,James Madison,James Mad
131,Kansas,KU,Kansas,Kansas,Kansas,Kansas,Kansas
132,Kansas State,KSU,,Kansas St.,Kansas St,Kansas State,Kansas St
