,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
0,Alabama,24,39.9,90.3,30.3,63.0,0.48,11.6,30.3,0.382,18.2,22.9,0.795,11.3,25.3,36.6,15.9,7.6,4.2,12.2,19.1
1,Arizona,24,41.0,90.1,32.5,66.5,0.488,7.8,21.2,0.368,17.4,23.9,0.728,12.9,27.9,40.8,18.9,8.8,3.5,12.0,16.3
2,Kentucky,24,40.4,88.9,32.3,65.8,0.492,9.9,24.3,0.407,14.4,19.1,0.752,8.5,26.7,35.2,17.7,7.8,6.4,9.8,16.6
3,Samford,25,39.9,88.0,31.5,63.3,0.498,10.4,25.4,0.407,14.6,20.3,0.717,9.8,23.7,33.5,18.8,11.1,3.9,13.1,18.7
4,Purdue,24,40.4,85.1,29.2,59.4,0.491,8.6,21.5,0.4,18.2,25.4,0.715,11.2,28.1,39.3,18.3,5.8,4.1,11.2,14.0
5,Wright State,26,40.2,85.0,31.9,60.3,0.529,6.4,17.3,0.37,14.7,19.2,0.766,7.8,22.8,30.6,16.2,5.9,2.8,11.5,15.5
6,Denver,26,41.0,84.9,28.8,62.8,0.458,8.8,24.0,0.367,18.6,24.8,0.749,9.2,24.2,33.3,13.9,6.2,4.2,10.0,16.5
7,Gonzaga,24,39.9,84.9,32.0,63.2,0.506,6.8,20.4,0.335,14.2,20.1,0.705,10.4,27.4,37.8,16.0,7.3,3.8,10.1,15.8
8,Indiana State,26,39.8,84.9,29.0,57.9,0.502,11.3,29.4,0.384,15.5,20.0,0.778,6.2,27.1,33.3,17.1,6.3,1.9,11.5,16.9
9,Tulane,23,40.7,84.8,28.4,58.8,0.483,7.8,21.9,0.355,20.1,27.1,0.742,5.2,25.6,30.8,14.4,8.2,4.4,10.3,17.2
10,James Madison,25,40.6,84.8,31.3,65.6,0.477,8.6,24.7,0.348,13.6,19.6,0.694,10.3,26.3,36.6,17.2,9.5,3.2,10.7,17.3
11,Florida,24,40.7,84.6,30.1,66.3,0.455,7.7,23.0,0.334,16.7,24.3,0.688,14.4,27.2,41.6,15.2,6.8,5.5,11.8,17.4
12,High Point,26,40.2,84.5,27.5,59.2,0.465,8.2,23.6,0.349,21.3,27.3,0.78,11.2,25.4,36.6,11.9,5.3,3.2,10.3,17.8
13,Kennesaw State,25,40.3,84.3,29.6,66.4,0.446,9.9,29.8,0.331,15.1,22.4,0.675,10.7,24.8,35.6,15.3,7.5,4.0,11.6,20.1
14,Iowa,24,39.8,84.2,30.9,64.5,0.48,6.5,19.2,0.341,15.8,20.3,0.779,8.8,24.1,32.9,18.0,7.8,3.8,9.6,16.2
15,New Mexico,25,40.0,84.1,30.8,65.1,0.473,7.0,19.8,0.352,15.5,22.3,0.695,10.3,25.4,35.6,15.4,9.4,4.9,9.9,18.3
16,Cornell,21,40.0,83.7,30.6,61.0,0.502,10.1,29.0,0.349,12.4,17.1,0.722,8.2,24.3,32.5,18.2,8.9,2.2,12.5,18.0
17,Florida Atlantic,24,41.0,83.5,29.9,62.4,0.48,8.9,24.4,0.366,14.7,20.4,0.72,10.7,25.2,35.9,15.3,7.8,2.7,10.8,15.8
18,Brigham Young,24,39.7,83.4,30.2,64.0,0.471,11.6,32.3,0.36,11.4,15.5,0.735,10.1,26.7,36.8,19.4,6.3,2.8,10.8,17.2
19,Illinois,24,40.3,83.0,29.3,63.0,0.464,8.6,24.9,0.346,15.9,21.8,0.732,11.6,27.8,39.4,13.2,4.6,4.1,10.5,14.8
20,Baylor,24,40.9,82.6,28.7,58.4,0.491,8.8,21.9,0.403,16.4,22.6,0.727,10.3,22.2,32.5,15.6,6.8,3.4,11.3,16.5
21,Youngstown State,26,40.2,82.5,29.5,64.5,0.456,9.2,27.5,0.333,14.4,18.5,0.779,10.7,26.3,36.9,15.6,6.5,5.0,10.5,16.0
22,Auburn,24,40.0,82.3,28.4,61.3,0.463,7.7,23.5,0.329,17.8,23.5,0.756,11.0,25.3,36.3,17.8,7.5,6.0,10.3,18.5
23,North Carolina,25,40.1,82.3,28.2,62.7,0.449,8.0,22.5,0.357,18.0,23.9,0.751,10.5,27.5,38.0,14.5,6.0,4.1,10.1,16.9
24,Lipscomb,26,40.0,82.1,29.8,60.7,0.491,9.3,25.3,0.368,13.2,17.3,0.761,6.8,24.0,30.7,14.5,6.0,3.5,9.8,13.1
25,Fort Wayne,25,40.2,81.8,29.1,61.7,0.472,9.4,26.0,0.363,14.1,20.1,0.702,7.1,22.6,29.7,13.1,9.9,3.4,10.3,17.8
26,TCU,24,40.8,81.8,29.9,61.6,0.486,6.5,18.3,0.355,15.5,21.5,0.718,10.6,24.0,34.6,18.0,9.2,3.9,12.4,17.3
27,Eastern Kentucky,24,40.2,81.8,30.0,65.2,0.46,8.3,23.1,0.359,13.5,19.7,0.684,11.6,25.4,37.0,15.5,6.8,6.1,11.0,16.6
28,UConn,24,39.8,81.3,28.9,58.0,0.498,8.6,23.8,0.363,14.9,20.4,0.73,9.9,25.0,34.8,17.9,6.4,5.4,9.5,16.8
29,Creighton,25,40.9,81.2,29.5,60.4,0.488,10.6,29.3,0.363,11.6,15.1,0.77,7.6,29.2,36.8,17.1,3.6,3.9,10.1,11.4
30,UNC Wilmington,24,40.4,81.1,28.3,61.3,0.462,8.7,24.4,0.357,15.7,20.8,0.757,9.5,23.7,33.1,12.8,6.2,2.6,8.0,17.3
31,Grand Canyon,24,40.2,81.0,27.3,58.3,0.469,7.0,20.5,0.34,19.4,25.9,0.749,10.7,25.0,35.6,12.2,8.7,5.4,12.5,17.7
32,Northern Colorado,24,41.3,81.0,29.6,60.8,0.486,8.3,23.1,0.357,13.6,18.7,0.726,7.7,26.5,34.2,14.6,6.3,2.4,11.3,16.6
33,Utah State,24,40.3,81.0,29.4,59.3,0.495,6.1,18.9,0.322,16.1,22.1,0.729,8.6,25.2,33.8,17.3,7.1,4.2,11.1,17.3
34,Charleston,25,40.0,80.9,28.6,65.4,0.437,10.2,31.4,0.324,13.5,18.7,0.724,12.1,25.6,37.7,14.6,5.5,2.9,9.8,16.1
