,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
0,Texas-San Antonio,24,40.7,83.6,29.3,64.3,0.456,9.4,24.3,0.387,15.7,22.3,0.704,9.2,26.1,35.3,16.0,6.1,4.5,9.1,18.3
1,UMBC,25,40.0,83.0,30.7,66.8,0.459,7.6,23.4,0.325,14.0,19.1,0.732,10.4,26.2,36.7,13.4,8.7,3.3,10.6,15.8
2,Arkansas-Pine Bluff,24,40.0,82.9,30.0,64.6,0.464,7.6,24.2,0.316,15.3,21.7,0.706,10.3,24.8,35.1,17.5,7.2,3.5,11.9,18.4
3,Houston Christian,23,40.2,82.6,31.3,67.1,0.466,7.6,23.2,0.326,12.4,17.8,0.697,10.7,25.3,36.0,16.3,9.5,5.1,10.3,18.2
4,Queens University,26,40.0,82.4,30.1,63.9,0.471,8.0,23.3,0.341,14.3,19.2,0.742,9.4,25.2,34.5,12.7,6.5,4.5,11.3,17.7
5,Virginia Military,25,40.2,82.2,30.0,66.0,0.455,9.2,26.2,0.352,12.9,19.7,0.657,9.8,25.5,35.3,15.2,8.9,3.2,10.7,16.0
6,Denver,26,41.0,81.2,29.8,64.5,0.462,7.6,21.6,0.351,14.0,19.2,0.731,9.2,24.0,33.2,12.9,5.2,4.2,10.4,19.6
7,Wright State,26,40.2,81.1,29.7,62.6,0.474,8.7,23.8,0.363,13.1,18.4,0.71,8.7,21.1,29.8,13.7,7.2,2.7,11.2,17.7
8,Kennesaw State,25,40.4,81.1,27.4,62.3,0.44,8.0,23.6,0.34,18.2,25.3,0.722,9.9,25.9,35.8,12.8,6.6,4.5,13.0,19.7
9,Detroit-Mercy,26,40.4,80.7,28.8,59.1,0.487,8.1,21.9,0.371,15.0,19.2,0.782,11.0,24.7,35.7,15.0,6.2,3.2,11.8,15.7
10,Portland,26,39.8,80.7,29.4,63.5,0.463,10.9,29.2,0.375,10.9,15.4,0.706,8.4,25.2,33.7,17.2,6.6,2.3,9.2,18.1
11,Mississippi Valley State,24,40.2,80.2,27.8,55.7,0.499,7.7,20.4,0.376,16.9,24.0,0.706,10.4,24.0,34.4,14.9,9.3,3.0,11.1,16.8
12,Florida A&M,22,40.6,80.0,27.5,60.0,0.457,8.6,23.1,0.374,16.5,24.5,0.673,9.5,24.4,33.9,13.7,8.7,3.8,10.6,14.5
13,Buffalo,24,40.2,80.0,29.9,62.0,0.482,8.0,22.0,0.361,12.3,17.3,0.708,9.3,24.9,34.2,16.1,8.0,3.2,10.1,14.5
14,Alabama A&M,24,40.2,80.0,25.7,57.9,0.444,8.0,21.8,0.367,20.6,28.0,0.734,10.8,23.4,34.3,14.4,9.8,3.6,13.3,20.2
15,Coastal Carolina,23,40.4,79.9,27.9,65.1,0.429,10.3,30.2,0.34,13.8,20.0,0.688,10.7,24.3,35.0,15.8,7.8,3.7,9.7,16.3
16,Texas-RGV,23,40.4,79.8,28.0,61.6,0.456,6.8,20.3,0.335,16.9,22.6,0.748,10.0,26.2,36.1,16.2,7.9,4.7,14.9,20.3
17,Tulane,23,40.7,79.8,28.0,65.7,0.427,9.4,28.3,0.333,14.3,20.2,0.705,11.2,26.3,37.5,15.2,6.2,3.5,12.9,20.3
18,New Orleans,25,40.2,79.6,28.6,60.9,0.469,6.4,19.5,0.331,16.0,22.8,0.702,10.5,26.2,36.7,15.2,6.4,4.4,13.9,19.5
19,DePaul,23,39.9,79.6,28.6,60.3,0.474,8.7,24.0,0.364,13.7,18.3,0.752,9.1,24.6,33.7,15.9,7.5,3.2,10.0,17.0
20,Georgia Southern,25,40.4,79.4,27.3,59.4,0.46,8.2,22.4,0.367,16.7,23.8,0.7,10.9,24.9,35.8,14.0,7.5,4.2,11.9,15.5
21,Milwaukee,25,40.8,79.2,27.4,62.0,0.441,8.5,23.7,0.358,16.0,21.1,0.761,10.4,23.3,33.7,15.3,7.0,4.4,11.7,17.7
22,Alcorn State,24,40.0,79.2,26.8,57.2,0.468,10.5,27.5,0.383,15.1,21.0,0.72,9.4,22.3,31.6,16.7,6.4,4.4,11.7,17.7
23,Michigan,25,40.5,79.1,29.0,63.1,0.46,7.5,20.8,0.362,13.5,18.6,0.727,10.5,22.1,32.6,13.3,7.2,4.1,9.5,17.1
24,IUPUI,26,40.2,78.9,28.8,57.5,0.501,8.2,21.7,0.377,13.1,18.6,0.706,9.6,21.8,31.5,16.5,6.9,3.5,12.7,16.9
25,Arkansas State,25,40.1,78.9,27.6,60.8,0.454,5.8,16.6,0.349,17.9,23.6,0.759,9.4,23.4,32.9,11.7,7.6,4.2,9.5,17.1
26,North Carolina A&T,25,39.8,78.8,29.2,60.3,0.485,7.8,21.6,0.36,12.5,18.2,0.688,9.7,27.2,37.0,15.2,5.4,3.8,10.8,17.0
27,Louisville,25,40.1,78.6,28.0,59.6,0.469,8.2,23.2,0.352,14.5,19.6,0.739,8.2,24.0,32.1,15.2,7.2,4.1,11.3,20.0
28,Albany,24,40.0,78.6,28.7,61.5,0.466,4.9,17.4,0.283,16.3,22.7,0.721,9.3,24.3,33.5,13.5,7.5,4.6,12.8,16.4
29,South Dakota,25,40.7,78.5,28.9,65.5,0.441,8.9,24.8,0.358,11.8,16.6,0.711,9.5,23.1,32.6,13.7,6.4,3.8,8.9,17.4
30,Morgan State,23,40.4,78.5,27.9,62.0,0.451,6.9,20.3,0.339,15.8,23.1,0.682,11.7,23.5,35.2,13.3,8.0,4.0,12.4,15.5
31,Fairleigh Dickinson,25,40.2,78.4,27.6,61.4,0.449,9.0,24.8,0.363,14.2,20.2,0.701,10.2,26.9,37.0,15.0,7.1,3.1,14.1,18.0
32,Northern Illinois,24,40.6,78.1,27.9,62.3,0.448,7.8,21.5,0.363,14.6,21.2,0.688,9.3,23.3,32.6,14.0,6.8,2.4,10.7,19.0
33,Kentucky,24,40.3,78.1,27.4,65.1,0.42,8.5,26.7,0.32,14.8,21.0,0.708,9.6,24.1,33.7,14.8,6.2,4.0,11.9,16.9
34,Hampton,25,39.9,78.1,27.8,62.8,0.443,8.1,25.0,0.323,14.4,19.0,0.758,9.8,24.0,33.8,13.0,7.4,2.8,10.4,16.2
35,Iowa,24,39.7,78.0,28.1,62.3,0.451,8.0,22.8,0.35,13.9,19.5,0.712,10.4,23.9,34.3,14.9,6.3,4.2,12.4,17.5
36,Belmont,25,40.0,77.9,28.5,61.7,0.462,8.6,25.4,0.339,12.3,16.9,0.726,8.6,24.3,32.9,15.7,6.9,2.9,12.3,16.8
37,Incarnate Word,24,40.2,77.9,27.0,60.1,0.45,6.9,20.0,0.343,16.9,23.5,0.721,9.2,23.2,32.3,14.1,8.0,4.2,11.1,17.2
38,Arkansas,23,40.3,77.8,27.0,62.5,0.432,7.8,22.2,0.352,16.0,21.9,0.73,8.7,23.6,32.3,13.1,6.3,2.8,10.7,20.8
39,Northern Colorado,24,41.3,77.8,27.7,61.3,0.451,9.0,24.7,0.363,13.5,17.9,0.751,7.8,24.7,32.5,12.3,6.8,3.2,11.5,17.0
40,South Carolina State,24,40.1,77.7,25.3,54.8,0.462,7.4,21.2,0.348,19.6,26.2,0.749,8.5,22.1,30.6,14.5,8.2,4.0,14.2,18.4
41,Saint Louis,24,39.9,77.6,26.9,60.1,0.447,8.6,25.3,0.342,15.3,21.0,0.726,9.0,24.0,33.1,13.4,6.6,4.0,9.5,17.6
42,George Washington,24,41.3,77.6,28.9,68.9,0.419,9.0,26.7,0.336,10.9,14.8,0.74,10.2,25.5,35.7,14.0,7.0,3.8,10.5,17.2
43,Central Arkansas,27,40.2,77.6,27.1,60.1,0.452,9.3,25.3,0.367,14.0,19.9,0.703,9.1,24.7,33.7,13.0,7.4,3.1,11.6,15.7
44,Pacific,26,40.3,77.5,27.4,57.3,0.478,8.1,23.0,0.353,14.6,20.3,0.718,9.2,27.0,36.1,13.7,6.4,3.1,11.7,18.3
45,Toledo,24,40.4,77.4,29.5,59.8,0.492,7.6,21.9,0.346,10.9,15.2,0.72,7.6,22.6,30.2,13.9,6.2,4.0,12.9,18.0
46,Georgetown,24,40.3,77.2,28.3,58.6,0.483,7.5,21.7,0.344,13.0,18.5,0.707,9.2,22.9,32.0,15.6,7.2,3.8,10.8,16.6
47,Long Island,23,40.2,77.1,27.1,59.4,0.456,6.3,20.2,0.31,16.7,24.3,0.688,9.7,26.8,36.4,14.9,8.5,3.9,11.0,15.8
48,Southern Utah,24,40.2,77.0,28.7,61.2,0.469,5.5,17.2,0.317,14.3,20.0,0.711,10.1,24.4,34.5,12.8,6.9,3.5,12.5,19.9
49,Eastern Kentucky,24,40.2,77.0,27.5,64.5,0.427,8.8,23.5,0.374,13.1,18.2,0.721,10.3,22.8,33.2,13.6,7.1,2.8,11.5,16.3
50,Lipscomb,26,40.0,77.0,28.9,63.3,0.457,8.5,24.2,0.352,10.6,14.8,0.715,9.4,23.7,33.0,12.4,5.0,3.5,11.0,16.0
51,Alabama,24,39.9,76.9,26.5,61.5,0.432,7.1,22.5,0.317,16.7,23.3,0.716,9.8,21.3,31.2,12.0,7.7,4.1,11.6,20.0
