,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
0,Xavier Johnson,SOILL,PG,9,33.0,25.0,7.2,14.9,0.485,2.3,5.6,0.42,8.2,9.0,0.914,0.7,3.1,3.8,5.3,1.7,0.6,2.7,2.8
1,Jordan Johnson,NEWOR,PG,10,35.6,23.8,7.5,18.1,0.414,3.4,9.0,0.378,5.4,6.2,0.871,0.4,2.8,3.2,4.3,1.5,0.0,2.0,1.6
2,Tommy Bruner,DEN,PG,11,33.0,23.2,7.0,18.0,0.389,2.8,6.6,0.425,6.4,7.2,0.886,0.5,2.3,2.7,3.6,1.0,0.2,3.3,2.4
3,Trey Calvin,WRST,PG,9,33.1,22.4,8.4,17.0,0.497,2.1,4.8,0.442,3.4,3.7,0.939,0.3,1.6,1.9,3.3,1.9,0.1,1.8,2.2
4,Mark Sears,UA,PG,9,29.1,21.4,6.8,12.1,0.56,2.8,5.4,0.51,5.1,6.2,0.821,1.4,3.1,4.6,3.9,1.2,0.1,2.0,2.0
5,Boogie Ellis,USC,PG,8,35.5,21.4,7.1,15.1,0.471,3.9,8.4,0.463,3.3,4.3,0.765,0.3,4.0,4.3,3.4,1.6,0.0,1.4,1.9
6,Tyson Walker,MCHST,PG,8,32.0,20.3,8.1,17.1,0.474,1.8,5.3,0.333,2.3,3.8,0.6,0.5,2.6,3.1,2.1,1.4,0.1,1.4,2.1
7,Malik Mack,HAR,PG,10,32.3,20.1,6.2,13.2,0.47,2.5,5.3,0.472,5.2,6.3,0.825,0.4,3.7,4.1,4.4,1.1,0.1,2.2,1.3
8,Judah Mintz,SYRA,PG,10,30.3,20.1,5.8,12.6,0.46,1.4,3.1,0.452,7.1,9.0,0.789,0.6,2.4,3.0,3.5,2.0,0.3,2.4,2.3
9,Jamarii Thomas,NORF,PG,11,29.5,20.0,5.5,12.0,0.462,2.0,4.4,0.458,6.9,7.9,0.874,0.5,3.1,3.6,3.7,2.5,0.2,2.1,2.5
10,Isaiah Swope,INDST,PG,9,31.7,19.7,7.1,14.2,0.5,3.8,8.4,0.447,1.7,2.4,0.682,0.3,3.3,3.7,2.0,2.2,0.1,1.6,1.9
11,K.J. Simpson,COLO,PG,9,29.0,19.4,6.4,11.6,0.558,1.8,3.8,0.471,4.8,5.2,0.915,0.8,3.6,4.3,4.3,1.7,0.0,1.3,2.1
12,Clark Slajchert,PENN,PG,12,35.8,19.2,7.3,14.3,0.509,2.8,6.2,0.459,1.8,2.4,0.759,0.9,1.9,2.8,3.4,1.1,0.2,2.5,1.9
13,Jordan Sears,UTM,PG,11,31.2,19.1,7.0,14.8,0.472,2.4,4.9,0.481,2.7,3.5,0.769,0.5,3.5,3.9,4.4,1.1,0.1,3.5,1.8
14,Sam Griffin,UWYOM,PG,9,32.7,19.0,6.1,11.9,0.514,2.7,5.1,0.522,4.1,4.8,0.86,0.2,2.6,2.8,4.0,1.1,0.0,3.6,0.7
15,K.K. Robinson,UALR,PG,5,32.8,19.0,5.6,13.4,0.418,0.4,3.8,0.105,7.4,9.0,0.822,1.0,4.4,5.4,5.4,1.4,1.0,2.2,3.4
16,Boo Buie,NWU,PG,9,35.3,18.9,6.6,14.3,0.457,2.0,5.6,0.36,3.8,4.7,0.81,0.7,3.0,3.7,5.0,1.3,0.0,2.2,3.0
