,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
0,1,Houston,B12,24,21-3  8–3,118.4,85.7,.9763,49.4,43.2,13.5,25,39.1,28,29.3,40.9,48,43.3,34.6,28.7,35.1,42.5,63.6,5.8
1,2,Purdue,B10,24,22-2  11–2,126.8,93.2,.9718,56.4,47.1,16.3,14.4,36.8,23.9,42.8,22.5,54.3,47.4,40,31,36.1,38,68.3,8.5
2,3,Connecticut,BE,24,22-2  12–1,124.3,94.7,.9580,57.2,44.8,15.4,16.9,36.4,27.1,35.1,35.1,59.2,43.3,36.3,32.1,41,31.5,64.9,6.7
3,4,Arizona,P12,24,19-5  10–3,122.3,94.9,.9483,54.7,49.5,15.8,18.9,37.3,23.1,35.9,25.4,54.5,47.8,36.8,34.7,31.8,39,72.6,4.7
4,5,Auburn,SEC,24,19-5  8–3,118.7,92.3,.9478,52.6,43.5,14.8,19,34.4,29.6,38.4,37.6,54.7,42.5,32.9,30.1,38.2,35.7,70,3
5,6,Iowa St.,B12,24,19-5  8–3,115.9,90.1,.9476,53.3,47.9,15.8,26.3,33.2,29.1,38.4,34.6,53.3,45.6,35.5,33.9,31.9,45.2,68.3,3.4
6,7,Alabama,SEC,24,17-7  9–2,126.9,100.1,.9385,57.2,49,16.7,16.4,35.4,29.2,36.4,37.9,57.1,49.8,38.2,31.7,48.1,36.6,72.4,3.2
7,8,Tennessee,SEC,23,17-6  7–3,118.3,93.8,.9354,52,44.9,14.5,18.5,32.8,29.3,34,36.6,52.5,43.8,34.2,31,41.3,39.6,69.2,3.6
8,9,BYU,B12,24,18-6  6–5,121.4,97.1,.9289,56.2,46.9,15.6,16.7,33.3,23.9,24.3,29.8,58.4,48.1,36,29.7,50.4,34.9,69.3,2.1
9,10,Marquette,BE,24,19-5  10–3,117.8,94.6,.9263,55.2,49.6,14.7,22.2,26.7,29.5,26.1,27.1,57.2,48.9,35,33.6,41.7,42.6,69.6,4.8
10,11,Illinois,B10,24,18-6  9–4,122.6,98.5,.9252,53.2,45.9,15.5,13.1,36.2,25.5,34.5,25.5,54.2,44.9,34.6,32.3,39.6,27.6,70.1,2.5
11,12,Kansas,B12,24,19-6  7–5,117.1,94.8,.9188,54.9,46.9,16.4,17.4,25.5,26.8,31.7,28.5,55.8,45,35.3,33,30.3,40.6,68.8,3.9
12,13,Saint Mary's,WCC,25,20-6  11–0,114.3,92.6,.9182,51.4,44.3,16.1,17.7,39.1,23.4,28.1,33.2,52.2,42.9,33.4,31.6,37.6,29.6,62.3,0.4
